AnimalID,AnimalType,IntakeDate,IntakeType,IntakeSubtype,PrimaryColor,PrimaryBreed,Gender,SecondaryColor,DOB,IntakeReason,IntakeInternalStatus,IntakeAsilomarStatus,ReproductiveStatusAtIntake,OutcomeDate,OutcomeType,OutcomeSubtype,OutcomeAsilomarStatus,ReproductiveStatusAtOutcome
A509603,CAT,11/1/2013 13:34,OWNER SUR,OTC,TORTIE,DOMESTIC MEDIUMHAIR,FEMALE,MUTED,11/1/2011 0:00,TOO MANY,OTHER,HEALTHY,FERTILE,11/1/2013 14:19,EUTH,REQUESTED,HEALTHY,FERTILE
A552294,DOG,7/26/2015 13:47,OWNER SUR,EUTH REQ,BUFF,AMERICAN STAFFORDSHIRE TERRIER,MALE,WHITE,2/4/2009 0:00,AGG PEOPLE,AGGRESSIVE,UNHEALTHY/UNTREATABLE,FERTILE,7/26/2015 14:22,EUTH,REQUESTED,HEALTHY,FERTILE
A504212,CAT,1/18/2015 17:36,FOSTER,RETURN,ORANGE,DOMESTIC LONGHAIR,NEUTERED MALE,WHITE,9/19/2007 0:00,FOSTER,OBESE,HEALTHY,ALTERED,1/27/2015 17:55,ADOPTION,FRIEND,HEALTHY,ALTERED
A507066,CAT,10/10/2013 17:36,OWNER SUR,OTC,ORANGE TABBY,DOMESTIC SHORTHAIR,NEUTERED MALE,WHITE,4/10/2012 0:00,MOVE,NORMAL,HEALTHY,ALTERED,10/17/2013 14:15,TRANSFER,KHS,HEALTHY,ALTERED
A358720,CAT,6/5/2009 13:41,RETURN,OTC,BLACK,DOMESTIC SHORTHAIR,NEUTERED MALE,WHITE,2/7/2007 0:00,HOUSE SOIL,NORMAL,HEALTHY,ALTERED,6/7/2009 14:59,EUTH,TIME/SPACE,HEALTHY,ALTERED
A269093,DOG,4/21/2006 21:46,OWNER SUR,OTC,BLACK,AMERICAN PIT BULL TERRIER,FEMALE,WHITE,12/21/2005 0:00,OWNER PROB,NORMAL,HEALTHY,FERTILE,4/25/2006 14:42,EUTH,TIME/SPACE,HEALTHY,FERTILE
A373892,DOG,2/9/2009 20:25,OWNER SUR,OTC,BLACK,GERMAN SHEPHERD DOG,FEMALE,BROWN,8/9/2007 0:00,ESCAPES,FEARFUL,HEALTHY,FERTILE,2/10/2009 14:34,EUTH,BEHAV OBSV,HEALTHY,FERTILE
A380496,CAT,4/10/2009 16:36,OWNER SUR,OTC,GRAY TABBY,DOMESTIC SHORTHAIR,SPAYED FEMALE,WHITE,10/10/2007 0:00,COST,NORMAL,HEALTHY,ALTERED,4/15/2009 23:59,EUTH,BEHAV OBSV,HEALTHY,ALTERED
A294412,CAT,12/30/2006 13:36,OWNER SUR,OTC,GRAY,DOMESTIC SHORTHAIR,NEUTERED MALE,WHITE,12/30/2005 0:00,LANDLORD,NORMAL,HEALTHY,ALTERED,1/12/2007 12:05,EUTH,MEDICAL,HEALTHY,ALTERED
A513035,CAT,12/18/2013 12:42,OWNER SUR,EUTH REQ,BROWN TABBY,MAINE COON,FEMALE,BLACK,12/18/2012 0:00,TOO MANY,NORMAL,HEALTHY,FERTILE,12/18/2013 13:45,EUTH,REQUESTED,HEALTHY,FERTILE
A444776,CAT,9/9/2011 23:30,OWNER SUR,FIELD,GRAY TABBY,DOMESTIC SHORTHAIR,SPAYED FEMALE,WHITE,7/20/2011 0:00,COST,NORMAL,HEALTHY,ALTERED,10/20/2011 14:43,ADOPTION,WALK IN,HEALTHY,ALTERED
A520149,DOG,3/8/2014 11:26,STRAY,OTC,TAN,PIT BULL TERRIER,FEMALE,WHITE,3/8/2012 0:00,AGG ANIMAL,NORMAL,HEALTHY,FERTILE,3/15/2014 8:25,EUTH,BEHAV OBSV,HEALTHY,FERTILE
A318403,DOG,7/13/2007 15:02,EUTH REQ,OTC OWNED,BLACK,ROTTWEILER,MALE,TAN,7/13/1997 0:00,ILL,AGED,UNHEALTHY/UNTREATABLE,FERTILE,7/13/2007 17:11,EUTH,REQUESTED,HEALTHY,FERTILE
A528856,CAT,7/25/2014 15:04,RETURN,ADOPTION,ORANGE TABBY,DOMESTIC SHORTHAIR,NEUTERED MALE,MUTED,4/24/2014 0:00,BOX ODOR,SICK,HEALTHY,ALTERED,9/3/2014 23:59,FOSTER,TIME/SPACE,HEALTHY,ALTERED
A522417,DOG,4/12/2014 16:18,RETURN,ADOPTION,BROWN BRINDLE,CHIHUAHUA - SMOOTH COATED,NEUTERED MALE,WHITE,4/1/2009 0:00,ILL,NORMAL,HEALTHY,ALTERED,4/22/2014 16:07,ADOPTION,WALK IN,HEALTHY,ALTERED
A322068,DOG,8/13/2007 9:25,OWNER SUR,OTC,BLACK,PIT BULL TERRIER,FEMALE,WHITE,8/13/2004 0:00,MOVE,NORMAL,HEALTHY,FERTILE,8/13/2007 13:14,EUTH,REQUESTED,HEALTHY,FERTILE
A566623,CAT,7/27/2015 14:24,OWNER SUR,OTC,BLACK,DOMESTIC SHORTHAIR,MALE,WHITE,3/27/2015 0:00,LANDLORD,NORMAL,HEALTHY,FERTILE,11/22/2015 23:59,FOSTER,TIME/SPACE,HEALTHY,FERTILE
A528377,DOG,6/6/2014 12:25,OWNER SUR,OTC,BLACK,RAT TERRIER,FEMALE,WHITE,6/6/2010 0:00,MOVE,OTHER,HEALTHY,FERTILE,6/8/2014 13:22,TRANSFER,KHS,HEALTHY,FERTILE
A517589,DOG,2/4/2014 12:13,OWNER SUR,OTC,BROWN,BULL TERRIER,FEMALE,WHITE,8/4/2012 0:00,MOVE,NORMAL,HEALTHY,FERTILE,2/21/2014 8:22,EUTH,BEHAV OBSV,HEALTHY,FERTILE
A512944,DOG,12/16/2013 16:00,STRAY,OTC,BLACK,CHIHUAHUA - SMOOTH COATED,NEUTERED MALE,BROWN,12/16/2004 0:00,OWNER PROB,NORMAL,HEALTHY,ALTERED,12/17/2013 15:32,TRANSFER,KHS,HEALTHY,ALTERED
A390941,CAT,8/3/2009 10:39,OWNER SUR,OTC,GRAY TABBY,DOMESTIC SHORTHAIR,NEUTERED MALE,WHITE,12/3/2008 0:00,MOVE,NORMAL,HEALTHY,ALTERED,12/22/2009 17:33,ADOPTION,PS HURST,HEALTHY,ALTERED
A333148,CAT,11/11/2007 14:06,OWNER SUR,OTC,WHITE,DOMESTIC SHORTHAIR,MALE,ORANGE,5/11/2007 0:00,MOVE,NORMAL,HEALTHY,FERTILE,11/12/2007 11:20,EUTH,BEHAV OBSV,HEALTHY,FERTILE
A370036,CAT,12/19/2008 10:45,OWNER SUR,OTC,TORTIE,DOMESTIC LONGHAIR,FEMALE,MUTED,12/19/2003 0:00,ESCAPES,AGED,TREATABLE/MANAGEABLE,FERTILE,12/19/2008 23:59,EUTH,TOO OLD,HEALTHY,FERTILE
A503728,CAT,9/17/2013 12:49,OWNER SUR,OTC,CALICO,DOMESTIC SHORTHAIR,FEMALE,WHITE,4/17/2013 0:00,TOO MANY,NORMAL,HEALTHY,FERTILE,9/19/2013 18:56,EUTH,TIME/SPACE,HEALTHY,FERTILE
A528650,DOG,6/11/2014 17:03,OWNER SUR,EUTH REQ,BROWN,AKITA,MALE,WHITE,12/11/2010 0:00,MOVE,AGGRESSIVE,UNHEALTHY/UNTREATABLE,FERTILE,6/11/2014 19:21,EUTH,REQUESTED,HEALTHY,FERTILE
A349398,DOG,5/22/2008 13:24,RETURN,OTC,BROWN,DOBERMAN PINSCHER,SPAYED FEMALE,TAN,3/6/2008 0:00,OTHER PET,NORMAL,HEALTHY,ALTERED,5/29/2008 17:33,ADOPTION,WEB PF,HEALTHY,ALTERED
A523973,CAT,4/19/2014 11:15,OWNER SUR,OTC,BROWN TABBY,DOMESTIC SHORTHAIR,FEMALE,WHITE,4/19/2013 0:00,TOO MANY,NORMAL,HEALTHY,FERTILE,4/21/2014 14:01,TRANSFER,KHS,HEALTHY,FERTILE
A329649,DOG,9/30/2007 12:10,EUTH REQ,OTC OWNED,BLACK,BLACK AND TAN COONOUND,SPAYED FEMALE,BROWN,3/30/2005 0:00,EUTH ILL,SICK,UNHEALTHY/UNTREATABLE,ALTERED,9/30/2007 14:43,EUTH,MEDICAL,HEALTHY,ALTERED
A262471,DOG,2/4/2006 0:19,OWNER SUR,OTC,BROWN,BORDER COLLIE,MALE,WHITE,8/5/2000 0:00,EUTH OTHER,INJURED,HEALTHY,FERTILE,2/4/2006 23:59,EUTH,REQUESTED,HEALTHY,FERTILE
A519469,CAT,2/24/2014 12:12,OWNER SUR,OTC,ORANGE,DOMESTIC SHORTHAIR,NEUTERED MALE,WHITE,2/24/2007 0:00,NO HOME,NORMAL,HEALTHY,ALTERED,3/28/2014 12:15,ADOPTION,PROMO,HEALTHY,ALTERED
A254074,DOG,10/30/2005 21:33,OWNER SUR,OTC,WHITE,AMERICAN PIT BULL TERRIER,FEMALE,BROWN,10/30/2002 0:00,LANDLORD,DEAD,HEALTHY,FERTILE,10/30/2005 23:59,EUTH,REQUESTED,HEALTHY,FERTILE
A522302,CAT,3/31/2014 12:10,OWNER SUR,OTC,BROWN TABBY,DOMESTIC SHORTHAIR,SPAYED FEMALE,WHITE,7/1/2009 0:00,ILL,NORMAL,HEALTHY,ALTERED,4/23/2014 15:00,TRANSFER,RESCUE GRP,HEALTHY,ALTERED
A118856,DOG,5/3/2006 18:10,OWNER SUR,FIELD,BLACK,MINIATURE PINSCHER,NEUTERED MALE,TAN,7/24/2000 0:00,OWNER PROB,NORMAL,HEALTHY,ALTERED,5/12/2006 17:07,TRANSFER,RESCUE GRP,HEALTHY,ALTERED
A406936,DOG,6/17/2014 13:35,OWNER SUR,OTC,TAN,YORKSHIRE TERRIER,FEMALE,BLACK,12/17/2009 0:00,OWNER PROB,NORMAL,HEALTHY,FERTILE,6/17/2014 14:55,TRANSFER,KHS,HEALTHY,FERTILE
A522300,CAT,3/31/2014 12:10,OWNER SUR,OTC,SEAL POINT,SNOWSHOE,SPAYED FEMALE,WHITE,3/31/2005 0:00,OWNER PROB,NORMAL,HEALTHY,ALTERED,4/2/2014 16:46,ADOPTION,PS OUTER,HEALTHY,ALTERED
A338788,DOG,2/26/2008 13:21,STRAY,FIELD,BROWN,PIT BULL TERRIER,MALE,WHITE,3/11/2007 0:00,STRAY,NORMAL,HEALTHY,FERTILE,3/19/2008 11:25,EUTH,BEHAV OBSV,HEALTHY,FERTILE
A509920,DOG,12/23/2013 16:52,RETURN,ADOPTION,TAN,SHIBA INU,SPAYED FEMALE,BLACK,11/4/2011 0:00,NO TIME,NORMAL,HEALTHY,ALTERED,12/28/2013 12:59,ADOPTION,FRIEND,HEALTHY,ALTERED
A324688,CAT,8/28/2007 15:13,OWNER SUR,OTC,ORANGE TIGER,DOMESTIC SHORTHAIR,MALE,WHITE,2/28/2006 0:00,OWNER PROB,NORMAL,HEALTHY,FERTILE,8/28/2007 19:57,EUTH,TIME/SPACE,HEALTHY,FERTILE
A335983,DOG,12/16/2007 10:54,OWNER SUR,OTC,WHITE,PIT BULL TERRIER,MALE,GRAY,12/16/2005 0:00,ESCAPES,AGGRESSIVE,UNHEALTHY/UNTREATABLE,FERTILE,12/23/2007 13:54,EUTH,BEHAV OBSV,HEALTHY,FERTILE
A511756,CAT,11/25/2013 12:11,OWNER SUR,OTC,BROWN TABBY,DOMESTIC SHORTHAIR,FEMALE,WHITE,11/25/2010 0:00,LANDLORD,NORMAL,HEALTHY,FERTILE,12/3/2013 12:24,EUTH,TIME/SPACE,HEALTHY,FERTILE
A275622,DOG,7/11/2006 19:46,OWNER SUR,OTC,BLACK,GERMAN SHEPHERD DOG,SPAYED FEMALE,BROWN,7/11/2001 0:00,NO TIME,NORMAL,HEALTHY,ALTERED,7/13/2006 23:59,EUTH,BEHAV OBSV,HEALTHY,ALTERED
A254426,CAT,11/3/2005 12:13,OWNER SUR,FIELD,BLACK,DOMESTIC SHORTHAIR,FEMALE,BROWN,7/3/2005 0:00,COST,NORMAL,HEALTHY,FERTILE,11/7/2005 23:59,EUTH,BEHAV HIST,HEALTHY,FERTILE
A334986,DOG,12/5/2007 20:20,OWNER SUR,OTC,BROWN,AKITA,FEMALE,WHITE,4/5/2006 0:00,MOVE,NORMAL,HEALTHY,FERTILE,12/17/2007 23:59,EUTH,MEDICAL,HEALTHY,FERTILE
A374047,CAT,2/11/2009 11:15,OWNER SUR,OTC,BLACK,DOMESTIC LONGHAIR,SPAYED FEMALE,WHITE,2/11/1999 0:00,NO TIME,NORMAL,HEALTHY,ALTERED,4/8/2009 23:59,ADOPTION,PS HURST,HEALTHY,ALTERED
A311932,CAT,5/26/2007 16:15,OWNER SUR,OTC,ORANGE,DOMESTIC SHORTHAIR,MALE,WHITE,3/26/2007 0:00,TOO MANY,NORMAL,HEALTHY,FERTILE,5/26/2007 23:59,EUTH,TIME/SPACE,HEALTHY,FERTILE
A278997,DOG,8/19/2006 14:58,OWNER SUR,OTC,BLACK,SIBERIAN HUSKY,SPAYED FEMALE,WHITE,8/19/1998 0:00,ALLERGIC,NORMAL,HEALTHY,ALTERED,8/28/2006 13:34,EUTH,TIME/SPACE,HEALTHY,ALTERED
A295412,CAT,1/12/2007 13:12,OWNER SUR,OTC,GRAY TABBY,DOMESTIC SHORTHAIR,MALE,WHITE,7/12/2006 0:00,TOO MANY,NORMAL,HEALTHY,FERTILE,1/20/2007 12:17,EUTH,MEDICAL,HEALTHY,FERTILE
A277136,DOG,7/29/2006 23:20,OWNER SUR,OTC,CREAM,OTTERHOUND,FEMALE,BLACK,11/29/2005 0:00,TOO MANY,NORMAL,HEALTHY,FERTILE,8/5/2006 9:30,TRANSFER,RESCUE GRP,HEALTHY,FERTILE
A508510,CAT,10/21/2013 12:38,OWNER SUR,OTC,GRAY,DOMESTIC SHORTHAIR,FEMALE,WHITE,7/21/2008 0:00,OWNER PROB,NORMAL,HEALTHY,FERTILE,10/21/2013 23:59,EUTH,TIME/SPACE,HEALTHY,FERTILE
A269239,DOG,4/24/2006 19:35,EUTH REQ,OTC OWNED,GRAY,POODLE - STANDARD,FEMALE,BLACK,4/24/1992 0:00,EUTH OLD,AGED,UNHEALTHY/UNTREATABLE,FERTILE,4/24/2006 18:00,EUTH,REQUESTED,HEALTHY,FERTILE
A248950,DOG,9/3/2005 11:23,EUTH REQ,OTC OWNED,BLACK,BASSET HOUND,FEMALE,WHITE,9/3/1989 0:00,EUTH OLD,SICK,UNHEALTHY/UNTREATABLE,FERTILE,9/3/2005 11:25,EUTH,MEDICAL,HEALTHY,FERTILE
A523993,DOG,4/19/2014 12:33,OWNER SUR,OTC,BLACK,CHOW CHOW,SPAYED FEMALE,WHITE,4/19/2011 0:00,OTHER PET,FEARFUL,HEALTHY,ALTERED,4/30/2014 14:02,TRANSFER,KHS,HEALTHY,ALTERED
A262708,DOG,6/14/2006 17:38,OWNER SUR,FIELD,WHITE,PIT BULL TERRIER,MALE,BROWN BRINDLE,2/7/2004 0:00,BITES,NORMAL,HEALTHY,FERTILE,6/26/2006 23:59,EUTH,MEDICAL,HEALTHY,FERTILE
A355565,DOG,6/4/2014 13:00,OWNER SUR,EUTH REQ,WHITE,LABRADOR RETRIEVER,NEUTERED MALE,BLACK,3/5/2008 0:00,AGG ANIMAL,NORMAL,HEALTHY,ALTERED,6/4/2014 13:39,EUTH,REQUESTED,HEALTHY,ALTERED
A496613,DOG,12/19/2013 14:43,STRAY,OTC,BLUE,PIT BULL TERRIER,FEMALE,WHITE,7/10/2012 0:00,OWNER PROB,NORMAL,HEALTHY,FERTILE,1/9/2014 16:14,EUTH,BEHAV OBSV,HEALTHY,FERTILE
A335116,CAT,12/7/2007 11:44,EUTH REQ,OTC OWNED,GRAY TIGER,DOMESTIC MEDIUMHAIR,FEMALE,WHITE,6/7/2006 0:00,ALLERGIC,FEARFUL,UNHEALTHY/UNTREATABLE,FERTILE,12/7/2007 17:05,EUTH,REQUESTED,HEALTHY,FERTILE
A275882,DOG,7/15/2006 13:34,OWNER SUR,OTC,BLACK,BASSET HOUND,MALE,TAN,9/15/2005 0:00,NO TIME,NORMAL,HEALTHY,FERTILE,7/21/2006 15:25,EUTH,BEHAV OBSV,HEALTHY,FERTILE
A269859,DOG,5/2/2006 16:01,OWNER SUR,OTC,BLACK,ROTTWEILER,MALE,TAN,8/2/2005 0:00,FOUND ANIM,NORMAL,HEALTHY,FERTILE,5/4/2006 13:52,EUTH,BEHAV OBSV,HEALTHY,FERTILE
A533716,DOG,8/5/2014 16:09,OWNER SUR,OTC,WHITE,AMERICAN BULLDOG,MALE,BROWN,2/5/2012 0:00,COST,NORMAL,HEALTHY,FERTILE,8/25/2014 11:38,EUTH,TIME/SPACE,HEALTHY,FERTILE
A513041,CAT,12/18/2013 12:42,OWNER SUR,EUTH REQ,BROWN TABBY,DOMESTIC SHORTHAIR,FEMALE,BLACK,12/18/2012 0:00,TOO MANY,NORMAL,HEALTHY,FERTILE,12/18/2013 13:46,EUTH,REQUESTED,HEALTHY,FERTILE
A359655,CAT,8/15/2008 13:43,OWNER SUR,OTC,BUFF,DOMESTIC SHORTHAIR,NEUTERED MALE,ORANGE TIGER,8/15/2004 0:00,ALLERGIC,NORMAL,HEALTHY,ALTERED,9/23/2008 13:26,TRANSFER,KHS,HEALTHY,ALTERED
A269592,DOG,4/29/2006 14:00,OWNER SUR,OTC,BLACK,SCHNAUZER - MINIATURE,SPAYED FEMALE,WHITE,4/29/1999 0:00,AGG PEOPLE,AGGRESSIVE,UNHEALTHY/UNTREATABLE,ALTERED,5/3/2006 12:13,TRANSFER,RESCUE GRP,HEALTHY,ALTERED
A376622,CAT,3/7/2009 15:18,OWNER SUR,OTC,BROWN TABBY,DOMESTIC SHORTHAIR,MALE,WHITE,3/7/2008 0:00,LANDLORD,NORMAL,HEALTHY,FERTILE,3/10/2009 13:44,EUTH,BEHAV OBSV,HEALTHY,FERTILE
A507126,DOG,10/11/2013 13:55,OWNER SUR,OTC,WHITE,AKITA,MALE,BLACK,10/11/2010 0:00,COST,NORMAL,HEALTHY,FERTILE,10/21/2013 19:04,TRANSFER,RESCUE GRP,HEALTHY,FERTILE
A529951,DOG,6/25/2014 12:27,OWNER SUR,OTC,WHITE,RAT TERRIER,MALE,TAN,6/25/2010 0:00,COST,INJURED,HEALTHY,FERTILE,6/25/2014 15:03,TRANSFER,RESCUE GRP,HEALTHY,FERTILE
A302971,DOG,3/30/2007 20:44,QUARANTINE,OWNER,BROWN,GERMAN SHEPHERD DOG,MALE,BLACK,5/30/2006 0:00,AGG PEOPLE,AGGRESSIVE,UNHEALTHY/UNTREATABLE,FERTILE,4/3/2007 9:55,EUTH,BEHAV OBSV,HEALTHY,FERTILE
A269604,DOG,4/29/2006 16:01,STRAY,OTC,FAWN,BOXER,NEUTERED MALE,WHITE,11/29/2003 0:00,FOUND ANIM,NORMAL,HEALTHY,ALTERED,5/10/2006 16:24,TRANSFER,RESCUE GRP,HEALTHY,ALTERED
A331982,CAT,10/29/2007 12:52,OWNER SUR,OTC,CALICO,DOMESTIC SHORTHAIR,SPAYED FEMALE,MUTED,10/29/2003 0:00,UNKNOWN,NORMAL,HEALTHY,ALTERED,12/11/2007 14:32,ADOPTION,WALK IN,HEALTHY,ALTERED
A498334,CAT,7/24/2013 17:22,OWNER SUR,OTC,BROWN TABBY,DOMESTIC SHORTHAIR,MALE,WHITE,6/21/2013 0:00,NO TIME,NORMAL,HEALTHY,FERTILE,7/26/2013 10:18,EUTH,TIME/SPACE,HEALTHY,FERTILE
A336107,DOG,12/17/2007 18:37,EUTH REQ,FIELD OWN,BROWN,GERMAN SHEPHERD DOG,MALE,BLACK,12/17/2004 0:00,BITES,DEAD,UNHEALTHY/UNTREATABLE,FERTILE,12/17/2007 19:00,EUTH,REQUESTED,HEALTHY,FERTILE
A427002,DOG,1/5/2012 14:18,OWNER SUR,OTC,WHITE,PIT BULL TERRIER,SPAYED FEMALE,BROWN,1/9/2009 0:00,LANDLORD,NORMAL,HEALTHY,ALTERED,2/4/2012 17:32,ADOPTION,FRIEND,HEALTHY,ALTERED
A385759,CAT,6/6/2009 15:47,OWNER SUR,OTC,GRAY TIGER,DOMESTIC SHORTHAIR,MALE,WHITE,3/6/2009 0:00,COST,NORMAL,HEALTHY,FERTILE,6/30/2009 23:59,EUTH,CONTAG DIS,HEALTHY,FERTILE
A316250,DOG,6/27/2007 16:19,OWNER SUR,OTC,BLACK,DACHSHUND,FEMALE,BLACK,6/27/2005 0:00,ATTENTION,FEARFUL,HEALTHY,FERTILE,6/30/2007 10:12,TRANSFER,RESCUE GRP,HEALTHY,FERTILE
A341058,CAT,2/8/2008 10:42,OWNER SUR,OTC,WHITE,DOMESTIC LONGHAIR,NEUTERED MALE,BLACK,2/8/1998 0:00,MOVE,NORMAL,HEALTHY,ALTERED,2/11/2008 23:59,EUTH,TIME/SPACE,HEALTHY,ALTERED
A294978,DOG,1/7/2007 19:34,OWNER SUR,OTC,BROWN,BEAGLE,SPAYED FEMALE,BLACK,4/7/2006 0:00,MOVE,FEARFUL,HEALTHY,ALTERED,1/25/2007 8:41,EUTH,BEHAV OBSV,HEALTHY,ALTERED
A371112,DOG,1/7/2009 17:13,OWNER SUR,OTC,BROWN,PIT BULL TERRIER,MALE,BROWN BRINDLE,1/7/2008 0:00,REPORT,NORMAL,HEALTHY,FERTILE,1/16/2009 15:57,EUTH,BREED,HEALTHY,FERTILE
A278291,DOG,8/11/2006 4:02,EUTH REQ,OTC OWNED,BLACK,PIT BULL TERRIER,MALE,WHITE,7/27/2004 0:00,EUTH ILL,SICK,UNHEALTHY/UNTREATABLE,FERTILE,8/11/2006 17:07,EUTH,REQUESTED,HEALTHY,FERTILE
A276421,DOG,7/21/2006 15:50,EUTH REQ,OTC OWNED,BLACK,ROTTWEILER,MALE,BROWN,7/21/2001 0:00,OWNER PROB,NORMAL,UNHEALTHY/UNTREATABLE,FERTILE,7/21/2006 16:03,EUTH,REQUESTED,HEALTHY,FERTILE
A272333,DOG,5/31/2006 13:41,OWNER SUR,OTC,BROWN,BELGIAN MALINOIS,SPAYED FEMALE,BLACK,10/1/2005 0:00,BITES,NORMAL,HEALTHY,ALTERED,6/7/2006 11:36,EUTH,BEHAV OBSV,HEALTHY,ALTERED
A334904,CAT,12/4/2007 22:54,OWNER SUR,OTC,GRAY,DOMESTIC SHORTHAIR,SPAYED FEMALE,CREAM,8/5/2007 0:00,TOO MANY,NORMAL,HEALTHY,ALTERED,1/11/2008 12:27,EUTH,CONTAG DIS,HEALTHY,ALTERED
A294509,DOG,1/2/2007 14:52,OWNER SUR,OTC,WHITE,BORDER TERRIER,SPAYED FEMALE,BUFF,1/2/2006 0:00,MOVE,NORMAL,HEALTHY,ALTERED,1/27/2007 12:34,TRANSFER,RESCUE GRP,HEALTHY,ALTERED
A447409,DOG,9/21/2013 11:43,OWNER SUR,EUTH REQ,BLACK,BORDER COLLIE,NEUTERED MALE,WHITE,12/5/2010 0:00,AGG ANIMAL,FEARFUL,HEALTHY,ALTERED,10/3/2013 18:45,TRANSPORT,RESCUE GRP,HEALTHY,ALTERED
A268994,DOG,4/20/2006 17:35,OWNER SUR,OTC,BROWN,AMERICAN PIT BULL TERRIER,MALE,WHITE,4/20/2004 0:00,AGG ANIMAL,DEAD,HEALTHY,FERTILE,4/20/2006 23:59,EUTH,REQUESTED,HEALTHY,FERTILE
A524638,DOG,4/24/2014 17:14,OWNER SUR,OTC,WHITE,RAT TERRIER,MALE,BLACK,4/24/2003 0:00,LANDLORD,NORMAL,HEALTHY,FERTILE,4/27/2014 13:23,TRANSFER,KHS,HEALTHY,FERTILE
A532328,CAT,7/23/2014 15:14,OWNER SUR,OTC,BLACK,DOMESTIC MEDIUMHAIR,MALE,WHITE,3/23/2014 0:00,COST,NORMAL,HEALTHY,FERTILE,9/11/2014 11:33,TRANSFER,KHS,HEALTHY,FERTILE
